# id|中文名|分组|上级|品牌|English|图片
spirit|蒸馏酒|基酒||||
gin|金酒|基酒|spirit||Gin|gin
london-dry|伦敦干金酒|基酒|gin||London Dry Gin|gin
old-tom|老汤姆金酒|基酒|gin||Old Tom Gin|gin
rum-all|朗姆酒|基酒|spirit||Rum|rum
rum|白朗姆酒|基酒|rum-all||White Rum|rum
cuban-white|古巴白朗姆|基酒|rum||White Cuban Ron|rum
cuban-rum|古巴朗姆酒|基酒|rum-all||Cuban Rum|rum
jamaican-rum|牙买加朗姆酒|基酒|rum-all||Jamaican Rum|aged-rum
jamaican-gold|牙买加金朗姆|基酒|jamaican-rum||Gold Jamaican Rum|aged-rum
jamaican-dark|牙买加深色朗姆|基酒|jamaican-rum||Jamaican Dark Rum|aged-rum
jamaican-overproof|牙买加高酒精度白朗姆|基酒|rum||Jamaica Overproof White Rum|rum
aged-rum|陈年朗姆酒|基酒|rum-all||Aged Rum|aged-rum
blackstrap-rum|黑糖蜜朗姆|基酒|rum-all||Blackstrap Rum|aged-rum
martinique-molasses|马提尼克糖蜜朗姆|基酒|rum-all||Martinique Molasses Rhum|aged-rum
agricole|马提尼克农业朗姆|基酒|rum-all||Rhum Martinique Agricole|aged-rum
puerto-rico-gold|波多黎各金朗姆|基酒|rum-all||Gold Puerto Rican Rum|aged-rum
demerara-rum|德梅拉拉朗姆|基酒|rum-all||Demerara Rum|aged-rum
goslings|高斯林黑朗姆|基酒|rum-all|Goslings|Goslings Rum|aged-rum
havana-profundo|哈瓦那俱乐部 Profundo|基酒|rum-all|Havana Club|Ron Profundo Havana Club|aged-rum
havana-smoky|哈瓦那俱乐部 Smoky|基酒|rum-all|Havana Club|Ron Smoky Havana Club|aged-rum
vodka|伏特加|基酒|spirit||Vodka|vodka
citron-vodka|柑橘伏特加|基酒|vodka||Vodka Citron|vodka
vanilla-vodka|香草伏特加|基酒|vodka||Vanilla Vodka|vodka
smirnoff|斯米诺伏特加|基酒|vodka|Smirnoff|Smirnoff Vodka|vodka
whiskey|威士忌|基酒|spirit||Whiskey Whisky|whiskey
bourbon|波本威士忌|基酒|whiskey||Bourbon Whiskey|whiskey
rye|黑麦威士忌|基酒|whiskey||Rye Whiskey|whiskey
scotch|苏格兰威士忌|基酒|whiskey||Scotch Whisky|whiskey
blended-scotch|调和苏格兰威士忌|基酒|scotch||Blended Scotch Whisky|whiskey
islay|艾雷岛单一麦芽威士忌|基酒|scotch||Islay Single Malt|whiskey
lagavulin-16|乐加维林 16 年|基酒|islay|Lagavulin|Lagavulin 16y|whiskey
irish-whiskey|爱尔兰威士忌|基酒|whiskey||Irish Whiskey|whiskey
tequila|龙舌兰酒|基酒|spirit||Tequila|tequila
tequila-agave|100% 龙舌兰酒|基酒|tequila||Tequila 100% Agave|tequila
mezcal|梅斯卡尔|基酒|spirit||Mezcal|tequila
espadin|Espadín 梅斯卡尔|基酒|mezcal||Espadin Mezcal|tequila
brandy|白兰地|基酒|spirit||Brandy|brandy
cognac|干邑|基酒|brandy||Cognac|brandy
calvados|卡尔瓦多斯苹果白兰地|基酒|brandy||Calvados|brandy
pisco|皮斯科|基酒|brandy||Pisco|brandy
cachaca|卡莎萨|基酒|spirit||Cachaca Cachaça|rum
aguardiente|古巴甘蔗烈酒|基酒|spirit||Cuban Aguardiente|rum
grappa|白格拉帕|基酒|brandy||White Smooth Grappa|brandy
vermouth|甜红味美思|利口酒与味美思|||Sweet Red Vermouth|vermouth
dry-vermouth|干味美思|利口酒与味美思|||Dry Vermouth|dry-vermouth
martini-rosso|马天尼 Rosso 甜红味美思|利口酒与味美思|vermouth|Martini|Martini Rosso|vermouth
dolin-rouge|杜林 Rouge 甜红味美思|利口酒与味美思|vermouth|Dolin|Dolin Rouge|vermouth
cinzano-rosso|仙山露 Rosso 甜红味美思|利口酒与味美思|vermouth|Cinzano|Cinzano Rosso|vermouth
bitter-aperitif|苦味开胃酒|利口酒与味美思|||Bitter Aperitif|
campari|金巴利|利口酒与味美思|bitter-aperitif|Campari|Bitter Campari|campari
aperol|阿佩罗|利口酒与味美思|bitter-aperitif|Aperol|Aperol|aperol
amaro|阿玛罗苦味利口酒|利口酒与味美思|||Amaro|
nonino|诺尼诺阿玛罗|利口酒与味美思|amaro|Nonino|Amaro Nonino|
cynar|西那尔洋蓟利口酒|利口酒与味美思|amaro|Cynar|Cynar|
fernet|菲奈特苦味利口酒|利口酒与味美思|amaro||Fernet|
fernet-branca|菲奈特布兰卡|利口酒与味美思|fernet|Fernet Branca|Fernet Branca|
orange-liqueur|橙味利口酒（大类）|利口酒与味美思|||Orange Liqueur|orange-liqueur
triple-sec|三重橙酒 Triple Sec|利口酒与味美思|orange-liqueur||Triple Sec|orange-liqueur
curacao|库拉索橙酒|利口酒与味美思|orange-liqueur||Orange Curacao|orange-liqueur
dry-curacao|干型库拉索橙酒|利口酒与味美思|curacao||Dry Curacao|orange-liqueur
blue-curacao|蓝橙利口酒|利口酒与味美思|curacao||Blue Curacao|blue-curacao
cointreau|君度橙酒|利口酒与味美思|triple-sec|Cointreau|Cointreau|cointreau
bols-blue|波士蓝橙利口酒|利口酒与味美思|blue-curacao|Bols|Bols Blue Curacao|blue-curacao
cognac-orange|干邑橙味利口酒|利口酒与味美思|orange-liqueur||Cognac Orange Liqueur|orange-liqueur
grand-marnier|柑曼怡|利口酒与味美思|cognac-orange|Grand Marnier|Grand Marnier|orange-liqueur
maraschino|马拉斯奇诺樱桃利口酒|利口酒与味美思|||Maraschino|
luxardo-maraschino|卢萨朵马拉斯奇诺|利口酒与味美思|maraschino|Luxardo|Maraschino Luxardo|
cherry-liqueur|樱桃利口酒|利口酒与味美思|||Cherry Brandy|
luxardo-cherry|卢萨朵 Sangue Morlacco|利口酒与味美思|cherry-liqueur|Luxardo|Cherry Sangue Morlacco|
apricot-brandy|杏子白兰地利口酒|利口酒与味美思|||Apricot Brandy|
peach-brandy|桃白兰地利口酒|利口酒与味美思|||Peach Brandy|
peach-schnapps|桃味甜酒|利口酒与味美思|||Peach Schnapps|
coffee-liqueur|咖啡利口酒|利口酒与味美思|||Coffee Liqueur|coffee-liqueur
kahlua|甘露咖啡利口酒|利口酒与味美思|coffee-liqueur|Kahlua|Kahlúa|coffee-liqueur
cacao-brown|深色可可利口酒|利口酒与味美思|||Crème de Cacao Brown|
cacao-white|白可可利口酒|利口酒与味美思|||Crème de Cacao White|
menthe-green|绿薄荷利口酒|利口酒与味美思|||Crème de Menthe Green|
menthe-white|白薄荷利口酒|利口酒与味美思|||Crème de Menthe White|
violette|紫罗兰利口酒|利口酒与味美思|||Crème de Violette|
mure|黑莓利口酒|利口酒与味美思|||Crème de Mûre|
cassis|黑加仑利口酒|利口酒与味美思|||Crème de Cassis|
raspberry-liqueur|覆盆子利口酒|利口酒与味美思|||Raspberry Liqueur|
passion-liqueur|百香果利口酒|利口酒与味美思|||Passion Fruit Liqueur|
amaretto|杏仁利口酒|利口酒与味美思|||Amaretto|
hazelnut-liqueur|榛子利口酒|利口酒与味美思|||Hazelnut Liqueur|
